name,hindi_name,category,serving_size,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calcium_mg,iron_mg,vitamin_a_mcg,vitamin_c_mg,alternate_names,scan_friendly,source,image
Tandoori Chicken,तंदूरी चिकन,meat,2 pieces (150g),150,280,35.0,4.0,13.0,0.5,1.0,40,2.2,90,3.0,Roasted Marinated Chicken,1,USDA / IFCT,/assets/images/074_tandoori_chicken.webp
Fish Fry,फिश फ्राई,meat,1 piece (100g),100,220,20.0,8.0,12.0,1.0,0.5,35,1.4,30,1.0,Fried Fish,1,IFCT,/assets/images/075_fish_fry.webp
Idli,इडली,grain,2 pieces (80g),80,100,3.5,20.0,0.5,1.5,0.3,18,0.8,0,0,Steamed Rice Cakes,1,IFCT,/assets/images/013_idli.webp
Plain Dosa,सादा डोसा,grain,1 dosa (60g),60,130,3.0,25.0,2.0,1.5,0.5,22,0.9,0,0,Sada Dosa,1,IFCT,/assets/images/014_plain_dosa.webp
Masala Dosa,मसाला डोसा,grain,1 dosa (150g),150,290,5.5,48.0,8.0,3.5,1.5,45,2.1,20,8.0,Potato Filled Crepe,1,IFCT,/assets/images/015_masala_dosa.webp
Rava Dosa,रवा डोसा,grain,1 dosa (80g),80,180,4.0,32.0,4.0,2.0,0.5,25,1.2,10,1.0,Semolina Crepe,1,IFCT,/assets/images/016_rava_dosa.webp
Medu Vada,मेदु वड़ा,legume,2 pieces (80g),80,240,6.0,28.0,12.0,3.0,0.5,28,1.6,5,0.5,Urad Dal Vada / Lentil Donut,1,IFCT,/assets/images/047_medu_vada.webp
Uttapam,उत्तापम,grain,1 piece (120g),120,210,5.0,38.0,4.0,2.5,2.0,32,1.4,25,6.0,Oothapam / Rice Pancake,1,IFCT,/assets/images/092_uttapam.webp
Upma,उपमा,grain,1 bowl (150g),150,220,5.0,38.0,5.0,2.5,2.0,28,1.3,45,3.0,Rava Upma / Semolina Porridge,1,IFCT,/assets/images/093_upma.webp
Poha,पोहा,grain,1 plate (150g),150,250,5.0,45.0,5.0,2.0,2.5,30,3.5,40,12.0,Flattened Rice / Rice Flakes Poha,1,IFCT,/assets/images/019_poha.webp
Puri Bhaji,पूरी भाजी,grain,2 puris + potato (180g),180,390,7.0,50.0,18.0,4.5,2.0,45,2.4,30,12.0,Poori Bhaji / Poori Masala,1,IFCT,/assets/images/020_puri_bhaji.webp
Bread Omelette,ब्रेड आमलेट,meat,1 sandwich (150g),150,340,16.0,28.0,18.0,2.0,2.0,90,2.8,160,4.0,Bread Egg Toast,1,IFCT / USDA,/assets/images/076_bread_omelette.webp
Rava Idli,रवा इडली,grain,2 pieces (100g),100,160,5.0,32.0,1.5,2.0,0.5,30,1.4,30,2.0,Semolina Idli,1,IFCT,/assets/images/021_rava_idli.webp
Appam,अप्पम,grain,2 pieces (80g),80,120,2.5,24.0,1.5,1.0,1.5,15,0.6,0,0,Palappam / Rice Crepe,1,IFCT,/assets/images/022_appam.webp
Sabudana Khichdi,साबूदाना खिचड़ी,grain,1 plate (150g),150,310,3.0,62.0,6.0,1.5,1.0,15,1.2,10,4.0,Sago Khichdi,1,IFCT,/assets/images/023_sabudana_khichdi.webp
Samosa,समोसा,snack,2 pieces (100g),100,310,5.0,36.0,16.0,3.0,2.0,20,1.6,10,4.0,Potato Pastry Snack,1,USDA / IFCT,/assets/images/077_samosa.webp
Onion Pakora,प्याज पकोड़ा,snack,4 pieces (80g),80,220,5.0,22.0,12.0,4.0,3.0,40,1.8,25,3.0,Onion Fritters / Pyazi Pakoda,1,IFCT,/assets/images/078_onion_pakora.webp
Aloo Tikki,आलू टिक्की,snack,2 tikkis (80g),80,180,3.0,28.0,6.0,2.5,1.0,15,1.2,15,5.0,Potato Cutlets,1,IFCT,/assets/images/080_aloo_tikki.webp
Pani Puri,पानी पूरी,snack,6 pieces (120g),120,180,3.0,32.0,4.0,2.5,3.0,30,1.6,15,6.0,Golgappa / Puchka,1,IFCT,/assets/images/081_pani_puri.webp
Bhel Puri,भेल पूरी,snack,1 plate (100g),100,190,4.0,35.0,3.5,3.0,4.0,35,2.1,30,5.0,Bhelpuri / Puffed Rice Salad,1,IFCT,/assets/images/082_bhel_puri.webp
Sev Puri,सेव पूरी,snack,6 pieces (120g),120,290,6.0,42.0,11.0,3.5,4.0,45,2.4,35,8.0,Sevpuri / Flat Puri Chaat,1,IFCT,/assets/images/083_sev_puri.webp
Dahi Vada,दही वड़ा,snack,2 pieces (150g),150,260,8.0,34.0,10.0,3.5,8.0,160,2.0,45,3.0,Dahi Bhalla / Lentil Dumplings in Yogurt,1,IFCT,/assets/images/084_dahi_vada.webp
Pav Bhaji,पाव भाजी,snack,1 plate (250g),250,420,10.0,62.0,14.0,6.5,8.0,90,3.5,180,22.0,Pavbhaji / Spicy Vegetable Mash with Buns,1,IFCT,/assets/images/106_pav_bhaji.webp
Vada Pav,वड़ा पाव,snack,1 piece (120g),120,300,7.0,45.0,10.0,3.5,3.0,45,2.2,20,5.0,Bombay Burger / Potato Dumpling Burger,1,IFCT,/assets/images/086_vada_pav.webp
Dhokla,ढोकला,snack,2 pieces (80g),80,130,5.0,22.0,2.5,2.5,3.0,35,1.4,20,2.0,Khaman Dhokla / Steamed Chickpea Cake,1,IFCT,/assets/images/087_dhokla.webp
Masala Chai,मसाला चाय,beverage,1 cup (200ml),200,120,4.0,14.0,5.0,0.5,10.0,130,0.3,40,1.0,Spiced Milk Tea,1,IFCT,/assets/images/088_masala_chai.webp
Kachori,कचौरी,snack,1 piece (80g),80,290,6.0,36.0,14.0,3.0,1.5,25,1.6,10,1.0,Khasta Kachori / Pyaaz Kachori,1,IFCT,/assets/images/089_kachori.webp
Papdi Chaat,पापड़ी चाट,snack,1 plate (150g),150,320,6.0,48.0,12.0,3.5,10.0,110,2.4,50,6.0,Papri Chaat / Indian Nachos Chaat,1,IFCT,/assets/images/090_papdi_chaat.webp
Gulab Jamun,गुलाब जामुन,sweet,2 pieces (60g),60,280,4.0,42.0,11.0,0.5,35.0,110,0.5,45,0.5,Fried Milk Dumplings in Syrup,1,IFCT,/assets/images/091_gulab_jamun.webp
Rasgulla,रसगुल्ला,sweet,2 pieces (80g),80,160,5.0,28.0,3.0,0.0,24.0,120,0.3,30,0.2,Roshogolla / Syrupy Cheese Balls,1,IFCT,/assets/images/049_rasgulla.webp
Rice Kheer,चावल की खीर,sweet,1 bowl (150g),150,220,6.0,30.0,8.0,0.5,22.0,180,0.4,85,1.0,Payasam / Rice Pudding,1,IFCT,/assets/images/111_rice_kheer.webp
Gajar Ka Halwa,गाजर का हलवा,sweet,1 bowl (120g),120,290,4.5,38.0,13.0,2.5,28.0,120,1.2,420,4.5,Carrot Halwa / Gajrela,1,IFCT,/assets/images/112_gajar_ka_halwa.webp
Jalebi,जलेबी,sweet,3 pieces (60g),60,250,2.0,42.0,8.0,0.5,30.0,25,0.6,10,0.5,Sweet Funnel Cake,1,IFCT,/assets/images/051_jalebi.webp
Rasmalai,रसमलाई,sweet,2 pieces (100g),100,240,8.0,26.0,12.0,0.2,20.0,240,0.4,110,0.8,Rossomalai / Cottage Cheese in Sweetened Milk,1,IFCT,/assets/images/113_rasmalai.webp
Kulfi,कुल्फी,sweet,1 stick (80g),80,180,4.5,22.0,8.0,0.2,18.0,140,0.3,65,0.6,Indian Ice Cream,1,IFCT,/assets/images/114_kulfi.webp
Besan Laddoo,बेसन लड्डू,sweet,1 piece (30g),30,150,2.5,18.0,7.5,1.0,12.0,15,0.6,15,0.2,Besan Ladoo / Chickpea Flour Ball,1,IFCT,/assets/images/115_besan_laddoo.webp
Kaju Katli,काजू कतली,sweet,2 pieces (30g),30,140,3.0,16.0,7.5,0.5,12.0,12,0.8,5,0.1,Kaju Barfi / Cashew Fudge,1,IFCT,/assets/images/116_kaju_katli.webp
Peda,पेड़ा,sweet,2 pieces (40g),40,170,3.5,22.0,7.5,0.1,18.0,130,0.2,40,0.4,Dharwad Peda / Milk Fudge,1,IFCT,/assets/images/117_peda.webp
Filter Coffee,फिल्टर कॉफी,beverage,1 cup (150ml),150,80,3.0,8.0,4.0,0.0,6.0,110,0.2,30,0.5,Kaapi / South Indian Filter Coffee,1,IFCT,/assets/images/047_filter_coffee.webp
